16198;NicoleE;Daniels;1/7/1980;5
6063;Lisa;Escobar;10/5/1970;3
9109;Amy;Hendrix;4/5/1975;1
10341;Julie;Barnes;22/11/1967;5,1
28444;Lynn;Hernandez;30/7/1985;2
43979;Natalie;Davis;29/7/1974;1
19823;Deborah;Lozano;31/1/2007;1
32437;Craig;Adams;10/4/2004;4
32400;Catherine;Cameron;19/10/1997;1
24759;Kyle;Rubio;13/2/1967;2,1
86294;Christina;Ortiz;17/08/2006;4,2
24506;David;Ritter;31/08/1975;4
23793;Paula;Watkins;23/05/1944;4
27128;Christopher;Duncan;22/04/1969;5
82405;Sharon;Johnson;05/10/1987;4
74508;Laura;Sanchez;18/01/1993;3
17914;Carlos;Fisher;22/05/1959;3
15951;William;Miller;13/11/1956;1
43548;Julia;Vance;13/04/1966;1
46254;Keith;Fitzgerald;04/04/1966;1
43132;Kurt;Newton;29/03/1964;1,5
92733;Eric;Lee;15/07/1996;1
2777;Kevin;Schultz;02/11/1974;1
31078;Isaiah;Fisher;08/04/1974;3,2
53270;Scott;Holloway;11/09/1968;2,4
65213;Emily;Faulkner;03/07/1953;4
47923;Kimberly;Rodriguez;15/03/1956;2
83113;Todd;Gentry;14/03/1994;5
49210;Robert;Mcguire;11/02/2001;1
6061;Corey;Clark;05/07/1977;3,1
24597;Micheal;Burns;22/07/1969;2
32175;Cheryl;Singh;17/12/1947;2
34648;Larry;Hansen;14/08/1957;4
43360;Caroline;Sawyer;01/05/1984;5
84323;Joshua;Freeman;13/10/1949;3
74451;Paul;Rodriguez;21/10/1946;3
64663;Manuel;Howard;01/03/1967;1
48044;Arthur;Kelley;25/06/2001;2
23212;Alexandra;Prince;14/12/1997;1
39244;Thomas;Hays;13/12/1982;3
51148;Dustin;Richardson;26/01/1972;3,5
94792;Gregory;Jackson;19/06/1954;5,2
24895;Felicia;Sanchez;31/07/1947;3
88020;Ronald;Avila;07/05/1952;2
33339;Matthew;Lewis;21/07/1972;3
21876;John;Jackson;21/06/1987;4
75154;Christina;Brandt;28/12/1947;2
44451;Cassie;Morris;25/06/1944;4
61345;Jeremy;Stewart;08/11/1958;3
74833;Douglas;Flores;18/06/1986;3,5
